"ds" "trend" "additive_terms" "additive_terms_lower" "additive_terms_upper" "yearly" "yearly_lower" "yearly_upper" "multiplicative_terms" "multiplicative_terms_lower" "multiplicative_terms_upper" "yhat_lower" "yhat_upper" "trend_lower" "trend_upper" "yhat"
"5786" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1576.27310777022 3463.41437418276 887.442302117232 887.442302117232 1013.53304876143
"5787" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1548.69256071213 3513.27979657039 887.442302117232 887.442302117232 1013.53304876143
"5788" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1349.49324169937 3526.56270259438 887.442302117232 887.442302117232 1013.53304876143
"5789" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1581.35355748871 3414.42225611 887.442302117232 887.442302117232 1013.53304876143
"5790" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1440.10786700779 3512.06670227988 887.442302117232 887.442302117232 1013.53304876143
"5791" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1542.81267507868 3617.70294490871 887.442302117232 887.442302117232 1013.53304876143
"5792" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1650.49276297393 3875.68905672707 887.442302117232 887.442302117232 1013.53304876143
"5793" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1507.04737155377 3724.03717780107 887.442302117232 887.442302117232 1013.53304876143
"5794" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1551.89468131851 3488.57532788296 887.442302117232 887.442302117232 1013.53304876143
"5795" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1393.43881404337 3699.04875934889 887.442302117232 887.442302117232 1013.53304876143
"5796" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1564.57379525899 3451.54652754985 887.442302117232 887.442302117232 1013.53304876143
"5797" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1549.46203899895 3683.5939488336 887.442302117232 887.442302117232 1013.53304876143
"5798" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1676.22449188266 3527.60167705575 887.442302117232 887.442302117232 1013.53304876143
"5799" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1488.54875505832 3609.2183469835 887.442302117232 887.442302117232 1013.53304876143
"5800" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1490.46559031927 3591.7263682384 887.442302117232 887.442302117232 1013.53304876143
"5801" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1764.82402170818 3419.61701851031 887.442302117232 887.442302117232 1013.53304876143
"5802" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1400.60944456375 3644.95422062525 887.442302117232 887.442302117232 1013.53304876143
"5803" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1698.53655880553 3466.46827448858 887.442302117232 887.442302117232 1013.53304876143
"5804" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1558.97140961221 3569.680618755 887.442302117232 887.442302117232 1013.53304876143
"5805" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1461.9193115237 3673.02563462977 887.442302117232 887.442302117232 1013.53304876143
"5806" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1401.80038308453 3586.44229310318 887.442302117232 887.442302117232 1013.53304876143
"5807" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1766.01099914625 3377.6218457279 887.442302117232 887.442302117232 1013.53304876143
"5808" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1542.32822825131 3653.09355794125 887.442302117232 887.442302117232 1013.53304876143
"5809" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1437.00171590771 3625.53297342113 887.442302117232 887.442302117232 1013.53304876143
"5810" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1569.48620892749 3732.4533494676 887.442302117232 887.442302117232 1013.53304876143
"5811" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1484.93496157523 3563.35336835863 887.442302117232 887.442302117232 1013.53304876143
"5812" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1523.06129264764 3407.69649966135 887.442302117232 887.442302117232 1013.53304876143
"5813" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1660.81863243789 3693.05905521287 887.442302117232 887.442302117232 1013.53304876143
"5814" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1525.78067249242 3688.97892831621 887.442302117232 887.442302117232 1013.53304876143
"5815" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1681.65782126032 3371.43192926043 887.442302117232 887.442302117232 1013.53304876143
"5816" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1585.75314610401 3474.93638604164 887.442302117232 887.442302117232 1013.53304876143
"5817" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1652.31688436943 3532.76056243025 887.442302117232 887.442302117232 1013.53304876143
"5818" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1675.3165409115 3680.08508929508 887.442302117232 887.442302117232 1013.53304876143
"5819" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1331.09767676448 3551.05469015981 887.442302117232 887.442302117232 1013.53304876143
"5820" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1450.51243769867 3653.28060471952 887.442302117232 887.442302117232 1013.53304876143
"5821" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1557.40350257084 3547.04192066776 887.442302117232 887.442302117232 1013.53304876143
"5822" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1526.87839260946 3416.87179650925 887.442302117232 887.442302117232 1013.53304876143
"5823" 2014-09-01 885.068501911296 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 0 0 0 -1723.69583465806 3440.82004664886 885.068501911296 885.068501911296 915.850221314588
"5824" 2014-09-01 885.068501911296 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 0 0 0 -1599.0703364773 3466.25959347636 885.068501911296 885.068501911296 915.850221314588
"5825" 2014-09-01 885.068501911296 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 30.7817194032914 0 0 0 -1544.97151540747 3511.64399855268 885.068501911296 885.068501911296 915.850221314588
